n,method,db,dg,depth,p_succ,energy,approx_ratio,feas_ratio,feas_approx_ratio,p_opt,p_999,p_99,p_9,rnd_approx_ratio,min_val,rnd_val,max_val
5,linear,0.5701348959121844,0.8282362342174561,15,0.0,-553.9032106396847,0.9616375184716749,0.9994579166284802,0.9621590889145322,0.22850007972980257,0.22850007972980257,0.22850007972980257,0.9500838505621871,0.9496656278808309,-576.0,-137.0,0.0
5,bfgs,,,15,0.0,-561.3960345905017,0.9746458933862875,0.9986173899383561,0.9759953143279947,0.31740511055682785,0.31740511055682785,0.31740511055682785,0.9953019461536601,0.9667335639874753,-576.0,-137.0,0.0
6,linear,0.49148861666396365,0.7549714357271767,20,0.1986980256633494,-557.2289040687637,0.9707820628375674,0.9987665217983608,0.9719809801890386,0.1986980256633494,0.1986980256633494,0.3903754079738677,0.9490910422336535,0.9656615861667692,-574.0,-85.59375,0.0
6,bfgs,,,20,0.22533082638393906,-562.1694995603253,0.9793893720563158,0.9995858220333795,0.9797951816323488,0.22533082638393906,0.22533082638393906,0.44513373296135794,0.99722168373878,0.9757773361015043,-574.0,-85.59375,0.0
7,linear,0.41296592510384317,0.8011246953241589,22,0.9942449706520871,-944.8260538880761,0.972043265316951,0.9978753515600709,0.9741129127974408,0.15761602884867779,0.15761602884867779,0.443144051191477,0.9859012379012674,0.953183682804912,-972.0,-391.5625,0.0
7,bfgs,,,22,0.9998427968982893,-962.9630757242184,0.9907027528026939,0.9998866448805556,0.9908150667629342,0.23873817198013828,0.23873817198013828,0.6894283751669164,0.9998425662692167,0.9844308400546457,-972.0,-391.5625,0.0
8,linear,0.42057349024568275,0.7118583655763464,28,0.8266059819715093,-882.9211884670397,0.9514236944687928,0.9965128964092977,0.9547530171431063,0.1494919148631562,0.1494919148631562,0.1494919148631562,0.9455569060275315,0.9379547100344209,-928.0,-201.453125,0.0
8,bfgs,,,28,0.9892914969561907,-905.4821658010986,0.9757350924580802,0.998412184524777,0.9772868436321311,0.4251946507956539,0.4251946507956539,0.4251946507956539,0.9933876960834854,0.9690070455551799,-928.0,-201.453125,0.0
9,linear,0.4479855002380955,0.5673258725958061,28,0.0,-879.8815028668542,0.9669027504031361,0.9983336465027662,0.9685166414958217,0.07153726600005597,0.07153726600005597,0.1668799867335224,0.9869955946845596,0.9573420714691985,-910.0,-203.953125,0.0
9,bfgs,,,28,0.0,-891.6383352393432,0.9798223464168605,0.998173406493646,0.9816153586567201,0.17753967185751346,0.17753967185751346,0.35533495685019556,0.9964050551011769,0.973993702952574,-910.0,-203.953125,0.0
10,linear,0.3553956828437676,0.5251773515454938,40,0.03137735617001084,-992.2339676747056,0.9540711227641399,0.9991908439975885,0.9548437403079751,0.03137735617001084,0.03137735617001084,0.19580489842425694,0.7904170111338366,0.9347970930070619,-1040.0,-307.4248046875,0.0
10,bfgs,,,40,0.04773787893311771,-1017.8239105311219,0.9786768370491559,0.9996811182312036,0.9789890187991027,0.04773787893311771,0.04773787893311771,0.2714552881133377,0.9757071596394514,0.9697285826618546,-1040.0,-307.4248046875,0.0
11,linear,0.3135061235286733,0.5249298831565169,41,0.9497558026827747,-1084.8643708987433,0.9643238852433272,0.9986262312903247,0.9656504656375035,0.0645088834922098,0.0645088834922098,0.0645088834922098,0.9481530505673611,0.9463767310450143,-1125.0,-376.52587890625,0.0
11,bfgs,,,41,0.9889066490318148,-1097.9620909777668,0.9759663030913486,0.9997559648822546,0.9762045312790829,0.09430734458701681,0.09430734458701681,0.09430734458701681,0.988456322347687,0.9638759600896788,-1125.0,-376.52587890625,0.0
